a 	 ఒక 	(Oka)	
generate 	 ఉత్పత్తి 	(Utpatti)	
generation 	 తరం 	(Taraṁ)	
generous 	 ఉదారంగా 	(Udāraṅgā)	
generously 	 ఉదారంగా 	(Udāraṅgā)	
gentle 	 సౌమ్యుడు 	(Saumyuḍu)	
gentleman 	 పెద్దమనిషి 	(Peddamaniṣi)	
gently 	 శాంతముగా 	(Śāntamugā)	
genuine 	 నిజమైన 	(Nijamaina)	
genuinely 	 యదార్ధంగా 	(Yadārdhaṅgā)	
geography 	 భూగోళశాస్త్రం 	(Bhūgōḷaśāstraṁ)	
get 	 పొందండి 	(Pondaṇḍi)	
get away 	 దూరంగా పొందండి 	(Dūraṅgā pondaṇḍi)	
get away with 	 దూరంగా పొందండి 	(Dūraṅgā pondaṇḍi)	
get back 	 తిరిగి పొందండి 	(Tirigi pondaṇḍi)	
get by 	 ద్వారా పొందండి 	(Dvārā pondaṇḍi)	
get in 	 ప్రవేశించు 	(Pravēśin̄cu)	
get into 	 ప్రవేశించండి 	(Pravēśin̄caṇḍi)	
get off 	 దిగిపో 	(Digipō)	
get on 	 పొందండి 	(Pondaṇḍi)	
get on with 	 తో పొందండి 	(Tō pondaṇḍi)	
get out of 	 బయటపడండి 	(Bayaṭapaḍaṇḍi)	
get over 	 పైగా పొందండి 	(Paigā pondaṇḍi)	
get round 	 చుట్టుముట్టండి 	(Cuṭṭumuṭṭaṇḍi)	
get round to 	 చుట్టూ చేరండి 	(Cuṭṭū cēraṇḍi)	
get through 	 ద్వారా పొందండి 	(Dvārā pondaṇḍi)	
get up 	 లేవండి 	(Lēvaṇḍi)	
giant 	 దిగ్గజం 	(Diggajaṁ)	
gift 	 బహుమతి 	(Bahumati)	
girl 	 అమ్మాయి 	(Am'māyi)	
girlfriend 	 ప్రియురాలు 	(Priyurālu)	
give 	 ఇస్తాయి 	(Istāyi)	
give away 	 ఇస్తాయి 	(Istāyi)	
give back 	 తిరిగి ఇస్తాయి 	(Tirigi istāyi)	
give in 	 ఇవ్వండి 	(Ivvaṇḍi)	
give off 	 ఆఫ్ ఇస్తాయి 	(Āph istāyi)	
give out 	 ఇవ్వండి 	(Ivvaṇḍi)	
give up 	 వదులుకో 	(Vadulukō)	
glad 	 సంతోషం 	(Santōṣaṁ)	
glass 	 గాజు 	(Gāju)	
global 	 ప్రపంచ 	(Prapan̄ca)	
glove 	 చేతి తొడుగు 	(Cēti toḍugu)	
glue 	 జిగురు 	(Jiguru)	
go 	 వెళ్ళు 	(Veḷḷu)	
go ahead 	 ముందుకు సాగండి 	(Munduku sāgaṇḍi)	
goal 	 లక్ష్యం 	(Lakṣyaṁ)	
go away 	 వెళ్ళిపో 	(Veḷḷipō)	
go back 	 తిరిగి వెళ్ళు 	(Tirigi veḷḷu)	
go back to 	 తిరిగి వెళ్ళు 	(Tirigi veḷḷu)	
go by 	 వెళ్ళు 	(Veḷḷu)	
god 	 దేవుడు 	(Dēvuḍu)	
go down 	 క్రిందికి వెళ్ళు 	(Krindiki veḷḷu)	
go into 	 లోకి వెళ్ళండి 	(Lōki veḷḷaṇḍi)	
gold 	 బంగారం 	(Baṅgāraṁ)	
good 	 మంచి 	(Man̄ci)	
goodbye 	 వీడ్కోలు 	(Vīḍkōlu)	
goods 	 వస్తువులు 	(Vastuvulu)	
go off 	 వెళ్ళిపో 	(Veḷḷipō)	
go on 	 కొనసాగండి 	(Konasāgaṇḍi)	
go on doing 	 చేస్తూనే ఉండండి 	(Cēstūnē uṇḍaṇḍi)	
go out 	 బయటకు వెళ్ళు 	(Bayaṭaku veḷḷu)	
go out with 	 తో బయటకు వెళ్ళు 	(Tō bayaṭaku veḷḷu)	
go over 	 పైగా వెళ్ళండి 	(Paigā veḷḷaṇḍi)	
go round 	 చుట్టూ తిరగండి 	(Cuṭṭū tiragaṇḍi)	
go through 	 గుండా వెళ్ళండి 	(Guṇḍā veḷḷaṇḍi)	
go through with 	 తో ద్వారా వెళ్ళండి 	(Tō dvārā veḷḷaṇḍi)	
go to 	 వెళ్ళండి 	(Veḷḷaṇḍi)	
go up 	 పైకి వెళ్ళు 	(Paiki veḷḷu)	
govern 	 పాలించు 	(Pālin̄cu)	
government 	 ప్రభుత్వం 	(Prabhutvaṁ)	
governor 	 గవర్నర్ 	(Gavarnar)	
go with 	 తో వెళ్ళండి 	(Tō veḷḷaṇḍi)	
go without 	 లేకుండా వెళ్ళండి 	(Lēkuṇḍā veḷḷaṇḍi)	
grab 	 పట్టుకో 	(Paṭṭukō)	
grade 	 గ్రేడ్ 	(Grēḍ)	
gradual 	 క్రమంగా 	(Kramaṅgā)	
gradually 	 క్రమంగా 	(Kramaṅgā)	
grain 	 ధాన్యం 	(Dhān'yaṁ)	
gram 	 గ్రాము 	(Grāmu)	
grammar 	 వ్యాకరణం 	(Vyākaraṇaṁ)	
grand 	 గొప్ప 	(Goppa)	
grandchild 	 మనవడు 	(Manavaḍu)	
granddaughter 	 మనవరాలు 	(Manavarālu)	
grandfather 	 తాతయ్య 	(Tātayya)	
grandmother 	 అమ్మమ్మ 	(Am'mam'ma)	
grandparent 	 తాతయ్య 	(Tātayya)	
grandson 	 మనవడు 	(Manavaḍu)	
grant 	 మంజూరు 	(Man̄jūru)	
grass 	 గడ్డి 	(Gaḍḍi)	
grateful 	 కృతజ్ఞతతో 	(Kr̥tajñatatō)	
grave 1 	 సమాధి 1 	(Samādhi 1)	
gravely 	 గంభీరంగా 	(Gambhīraṅgā)	
great 	 గొప్ప 	(Goppa)	
greatly 	 గొప్పగా 	(Goppagā)	
green 	 ఆకుపచ్చ 	(Ākupacca)	
grey 	 బూడిద రంగు 	(Būḍida raṅgu)	
grocery 	 కిరాణా 	(Kirāṇā)	
ground 	 నేల 	(Nēla)	
group 	 సమూహం 	(Samūhaṁ)	
grow 	 పెరుగుతాయి 	(Perugutāyi)	
growth 	 వృద్ధి 	(Vr̥d'dhi)	
grow up 	 పెరుగుతాయి 	(Perugutāyi)	
guarantee 	 హామీ 	(Hāmī)	
guard 	 కాపలా 	(Kāpalā)	
guess 	 అంచనా 	(An̄canā)	
guest 	 అతిథి 	(Atithi)	
guide 	 మార్గదర్శకుడు 	(Mārgadarśakuḍu)	
guilty 	 దోషి 	(Dōṣi)	
gun 	 తుపాకీ 	(Tupākī)	
guy 	 వ్యక్తి 	(Vyakti)	
habit 	 అలవాటు 	(Alavāṭu)	
hair 	 జుట్టు 	(Juṭṭu)	
hairdresser 	 క్షౌరశాల 	(Kṣauraśāla)	
half 	 సగం 	(Sagaṁ)	
hall 	 హాలు 	(Hālu)	
hammer 	 సుత్తి 	(Sutti)	
hand 	 చేతి 	(Cēti)	
hand back 	 తిరిగి చేయి 	(Tirigi cēyi)	
hand down 	 చేయి డౌన్ 	(Cēyi ḍaun)	
hand in 	 చేయి 	(Cēyi)	
handle 	 హ్యాండిల్ 	(Hyāṇḍil)	
hand out 	 చేయి 	(Cēyi)	
hand over 	 అప్పగించండి 	(Appagin̄caṇḍi)	
hand round 	 చేతి రౌండ్ 	(Cēti rauṇḍ)	
hang 	 వేలాడదీయండి 	(Vēlāḍadīyaṇḍi)	
hang about 	 గురించి వ్రేలాడదీయు 	(Gurin̄ci vrēlāḍadīyu)	
hang about with 	 తో కాలక్షేపం 	(Tō kālakṣēpaṁ)	
hang around 	 చుట్టూ తొంగి చూస్తారు 	(Cuṭṭū toṅgi cūstāru)	
hang around with 	 చుట్టూ తిరుగుతారు 	(Cuṭṭū tirugutāru)	
hang on 	 వేలాడదీయండి 	(Vēlāḍadīyaṇḍi)	
hang on to 	 వేలాడదీయండి 	(Vēlāḍadīyaṇḍi)	
hang up 	 వేలాడదీయండి 	(Vēlāḍadīyaṇḍi)	
happen 	 జరుగుతాయి 	(Jarugutāyi)	
happen to 	 జరుగుతుంది 	(Jarugutundi)	
happily 	 సంతోషంగా 	(Santōṣaṅgā)	
happiness 	 ఆనందం 	(Ānandaṁ)	
happy 	 సంతోషంగా ఉంది 	(Santōṣaṅgā undi)	
hard 	 కష్టం 	(Kaṣṭaṁ)	
hardly 	 అరుదుగా 	(Arudugā)	
harm 	 హాని 	(Hāni)	
harmful 	 హానికరమైన 	(Hānikaramaina)	
harmless 	 ప్రమాదకరం 	(Pramādakaraṁ)	
hat 	 టోపీ 	(Ṭōpī)	
hate 	 ద్వేషించు 	(Dvēṣin̄cu)	
hatred 	 ద్వేషం 	(Dvēṣaṁ)	
have 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
have back 	 తిరిగి పొందండి 	(Tirigi pondaṇḍi)	
have on 	 కలిగి ఉంటాయి 	(Kaligi uṇṭāyi)	
have to 	 వుంటుంది 	(Vuṇṭundi)	
he 	 అతను 	(Atanu)	
head 	 తల 	(Tala)	
headache 	 తలనొప్పి 	(Talanoppi)	
heal 	 నయం 	(Nayaṁ)	
health 	 ఆరోగ్యం 	(Ārōgyaṁ)	
healthy 	 ఆరోగ్యకరమైన 	(Ārōgyakaramaina)	
hear 	 వినండి 	(Vinaṇḍi)	
hear from 	 నుండి వినండి 	(Nuṇḍi vinaṇḍi)	
hearing 	 వినికిడి 	(Vinikiḍi)	
hear of 	 విను 	(Vinu)	
heart 	 గుండె 	(Guṇḍe)	
heat 	 వేడి 	(Vēḍi)	
heating 	 వేడి చేయడం 	(Vēḍi cēyaḍaṁ)	
heat up 	 వేడెక్కుతుంది 	(Vēḍekkutundi)	
heaven 	 స్వర్గం 	(Svargaṁ)	
heavily 	 భారీగా 	(Bhārīgā)	
heavy 	 భారీ 	(Bhārī)	
heel 	 మడమ 	(Maḍama)	
height 	 ఎత్తు 	(Ettu)	
hell 	 నరకం 	(Narakaṁ)	
hello 	 హలో 	(Halō)	
help 	 సహాయం 	(Sahāyaṁ)	
helpful 	 సహాయకారిగా 	(Sahāyakārigā)	
help out 	 సహాయం చేయండి 	(Sahāyaṁ cēyaṇḍi)	
hence 	 అందుకే 	(Andukē)	
her 	 ఆమె 	(Āme)	
here 	 ఇక్కడ 	(Ikkaḍa)	
hero 	 హీరో 	(Hīrō)	
hers 	 ఆమెది 	(Āmedi)	
herself 	 ఆమె 	(Āme)	
hesitate 	 సంకోచించండి 	(Saṅkōcin̄caṇḍi)	
hi 	 హాయ్ 	(Hāy)	
hide 	 దాచు 	(Dācu)	
high 	 అధిక 	(Adhika)	
highlight 	 హైలైట్ 	(Hailaiṭ)	
highly 	 అత్యంత 	(Atyanta)	
highway 	 హైవే 	(Haivē)	
hill 	 కొండ 	(Koṇḍa)	
him 	 అతనిని 	(Atanini)	
himself 	 తాను 	(Tānu)	
hip 	 తుంటి 	(Tuṇṭi)	
hire 	 కిరాయి 	(Kirāyi)	
hire out 	 అద్దెకు తీసుకుంటారు 	(Addeku tīsukuṇṭāru)	
his 	 అతని 	(Atani)	
historical 	 చారిత్రక 	(Cāritraka)	
history 	 చరిత్ర 	(Caritra)	
hit 	 కొట్టాడు 	(Koṭṭāḍu)	
hobby 	 అభిరుచి 	(Abhiruci)	
hold 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
hold back 	 తిరిగి పట్టుకోండి 	(Tirigi paṭṭukōṇḍi)	
hold on 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
hold on to 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
hold out 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
hold up 	 పట్టుకోండి 	(Paṭṭukōṇḍi)	
hole 	 రంధ్రం 	(Randhraṁ)	
holiday 	 సెలవు 	(Selavu)	
hollow 	 బోలుగా 	(Bōlugā)	
holy 	 పవిత్రమైనది 	(Pavitramainadi)	
home 	 ఇల్లు 	(Illu)	
homework 	 హోంవర్క్ 	(Hōnvark)	
honest 	 నిజాయితీ 	(Nijāyitī)	
honestly 	 నిజాయితీగా 	(Nijāyitīgā)	
honour 	 గౌరవం 	(Gauravaṁ)	
hook 	 హుక్ 	(Huk)	
hope 	 ఆశ 	(Āśa)	
horizontal 	 అడ్డంగా 	(Aḍḍaṅgā)	
horn 	 కొమ్ము 	(Kom'mu)	
horror 	 భయానక 	(Bhayānaka)	
horse 	 గుర్రం 	(Gurraṁ)	
hospital 	 ఆసుపత్రి 	(Āsupatri)	
host 	 హోస్ట్ 	(Hōsṭ)	
hot 	 వేడి 	(Vēḍi)	
hotel 	 హోటల్ 	(Hōṭal)	
hour 	 గంట 	(Gaṇṭa)	
house 	 ఇల్లు 	(Illu)	
household 	 గృహ 	(Gr̥ha)	
housing 	 గృహనిర్మాణం 	(Gr̥hanirmāṇaṁ)	
how 	 ఎలా 	(Elā)	
however 	 అయితే 	(Ayitē)	
huge 	 భారీ 	(Bhārī)	
human 	 మానవుడు 	(Mānavuḍu)	
humorous 	 హాస్యభరితమైన 	(Hāsyabharitamaina)	
humour 	 హాస్యం 	(Hāsyaṁ)	
hundred 	 వంద 	(Vanda)	
hundredth 	 వందో 	(Vandō)	
hungry 	 ఆకలిగా ఉంది 	(Ākaligā undi)	
hunt 	 వేట 	(Vēṭa)	
hunting 	 వేట 	(Vēṭa)	
hurry 	 త్వరపడండి 	(Tvarapaḍaṇḍi)	
hurry up 	 త్వరపడండి 	(Tvarapaḍaṇḍi)	
hurt 	 బాధించింది 	(Bādhin̄cindi)	
husband 	 భర్త 	(Bharta)	
I 	 I 	(I)	
ice 	 మంచు 	(Man̄cu)	
ice cream 	 ఐస్ క్రీం 	(Ais krīṁ)	
idea 	 ఆలోచన 	(Ālōcana)	
ideal 	 ఆదర్శవంతమైనది 	(Ādarśavantamainadi)	
identify 	 గుర్తించండి 	(Gurtin̄caṇḍi)	
identify with 	 తో గుర్తించండి 	(Tō gurtin̄caṇḍi)	
identity 	 గుర్తింపు 	(Gurtimpu)	
i.e. 	 అనగా 	(Anagā)	
if 	 ఉంటే 	(Uṇṭē)	
ignore 	 పట్టించుకోకండి 	(Paṭṭin̄cukōkaṇḍi)	
ill 	 అనారోగ్యంతో 	(Anārōgyantō)	
illegal 	 చట్టవిరుద్ధం 	(Caṭṭavirud'dhaṁ)	
illegally 	 చట్టవిరుద్ధంగా 	(Caṭṭavirud'dhaṅgā)	
illness 	 రోగము 	(Rōgamu)	
illustrate 	 వర్ణించండి 	(Varṇin̄caṇḍi)	
image 	 చిత్రం 	(Citraṁ)	
imaginary 	 ఊహాత్మకమైన 	(Ūhātmakamaina)	
imagination 	 ఊహ 	(Ūha)	
imagine 	 ఊహించుకోండి 	(Ūhin̄cukōṇḍi)	
immediate 	 వెంటనే 	(Veṇṭanē)	
immediately 	 వెంటనే 	(Veṇṭanē)	
immoral 	 అనైతిక 	(Anaitika)	
impact 	 ప్రభావం 	(Prabhāvaṁ)	
impatient 	 అసహనం 	(Asahanaṁ)	
implication 	 తాత్పర్యం 	(Tātparyaṁ)	
imply 	 సూచిస్తుంది 	(Sūcistundi)	
import 	 దిగుమతి 	(Digumati)	
importance 	 ప్రాముఖ్యత 	(Prāmukhyata)	
important 	 ముఖ్యమైన 	(Mukhyamaina)	
importantly 	 ముఖ్యంగా 	(Mukhyaṅgā)	
impose 	 విధిస్తాయి 	(Vidhistāyi)	
impossible 	 అసాధ్యం 	(Asādhyaṁ)	
impress 	 ఆకట్టుకుంటారు 	(Ākaṭṭukuṇṭāru)	
impressed 	 ఆకట్టుకున్నాడు 	(Ākaṭṭukunnāḍu)	
impression 	 ముద్ర 	(Mudra)	
impressive 	 ఆకట్టుకునే 	(Ākaṭṭukunē)	
improve 	 మెరుగుపరుస్తాయి 	(Meruguparustāyi)	
improvement 	 అభివృద్ధి 	(Abhivr̥d'dhi)	
in 	 లో 	(Lō)	
inability 	 అసమర్థత 	(Asamarthata)	
inch 	 అంగుళం 	(Aṅguḷaṁ)	
incident 	 సంఘటన 	(Saṅghaṭana)	
include 	 చేర్చండి 	(Cērcaṇḍi)	
including 	 సహా 	(Sahā)	
income 	 ఆదాయం 	(Ādāyaṁ)	
increase 	 పెరుగుతుంది 	(Perugutundi)	
increasingly 	 పెరుగుతున్న 	(Perugutunna)	
indeed 	 నిజానికి 	(Nijāniki)	
independence 	 స్వాతంత్ర్యం 	(Svātantryaṁ)	
independent 	 స్వతంత్ర 	(Svatantra)	
independently 	 స్వతంత్రంగా 	(Svatantraṅgā)	
index 	 సూచిక 	(Sūcika)	
indicate 	 సూచిస్తాయి 	(Sūcistāyi)	
indication 	 సూచన 	(Sūcana)	
indirect 	 పరోక్షంగా 	(Parōkṣaṅgā)	
indirectly 	 పరోక్షంగా 	(Parōkṣaṅgā)	
individual 	 వ్యక్తిగత 	(Vyaktigata)	
indoor 	 ఇండోర్ 	(Iṇḍōr)	
indoors 	 ఇంటి లోపల 	(Iṇṭi lōpala)	
industrial 	 పారిశ్రామిక 	(Pāriśrāmika)	
industry 	 పరిశ్రమ 	(Pariśrama)	
inevitable 	 అనివార్యమైన 	(Anivāryamaina)	
inevitably 	 అనివార్యంగా 	(Anivāryaṅgā)	
infect 	 సంక్రమిస్తాయి 	(Saṅkramistāyi)	
infected 	 సోకినది 	(Sōkinadi)	
infection 	 సంక్రమణ 	(Saṅkramaṇa)	
infectious 	 అంటువ్యాధి 	(Aṇṭuvyādhi)	
influence 	 ప్రభావం 	(Prabhāvaṁ)	
inform 	 తెలియజేయండి 	(Teliyajēyaṇḍi)	
informal 	 అనధికారిక 	(Anadhikārika)	
information 	 సమాచారం 	(Samācāraṁ)	
ingredient 	 పదార్ధం 	(Padārdhaṁ)	
initial 	 ప్రారంభ 	(Prārambha)	
initially 	 ప్రారంభంలో 	(Prārambhanlō)	
initiative 	 చొరవ 	(Corava)	
injure 	 గాయపరచు 	(Gāyaparacu)	
injured 	 గాయపడ్డారు 	(Gāyapaḍḍāru)	
injury 	 గాయం 	(Gāyaṁ)	
ink 	 సిరా 	(Sirā)	
inner 	 లోపలి 	(Lōpali)	
innocent 	 నిర్దోషి 	(Nirdōṣi)	
insect 	 కీటకం 	(Kīṭakaṁ)	
insert 	 చొప్పించు 	(Coppin̄cu)	
inside 	 లోపల 	(Lōpala)	
insist 	 పట్టుబట్టుతారు 	(Paṭṭubaṭṭutāru)	
insist on 	 పట్టుబట్టారు 	(Paṭṭubaṭṭāru)	
insist on doing 	 చేయాలని పట్టుబట్టారు 	(Cēyālani paṭṭubaṭṭāru)	
install 	 ఇన్స్టాల్ 	(Insṭāl)	
instance 	 ఉదాహరణ 	(Udāharaṇa)	
instead 	 బదులుగా 	(Badulugā)	
instead of 	 బదులుగా 	(Badulugā)	
institute 	 ఇన్స్టిట్యూట్ 	(Insṭiṭyūṭ)	
institution 	 సంస్థ 	(Sanstha)	
instruction 	 సూచన 	(Sūcana)	
instrument 	 వాయిద్యం 	(Vāyidyaṁ)	
insult 	 అవమానించడం 	(Avamānin̄caḍaṁ)	
insulting 	 అవమానకరం 	(Avamānakaraṁ)	
insurance 	 భీమా 	(Bhīmā)	
intelligence 	 తెలివితేటలు 	(Telivitēṭalu)	
intelligent 	 తెలివైన 	(Telivaina)	
intend 	 ఉద్దేశ్యము 	(Uddēśyamu)	
intended 	 ఉద్దేశించబడింది 	(Uddēśin̄cabaḍindi)	
intention 	 ఉద్దేశం 	(Uddēśaṁ)	
interest 	 ఆసక్తి 	(Āsakti)	
interested 	 ఆసక్తి 	(Āsakti)	
interesting 	 ఆసక్తికరమైన 	(Āsaktikaramaina)	
interior 	 అంతర్గత 	(Antargata)	
internal 	 అంతర్గత 	(Antargata)	
international 	 అంతర్జాతీయ 	(Antarjātīya)	
Internet 	 ఇంటర్నెట్ 	(Iṇṭarneṭ)	
interpret 	 అన్వయించు 	(Anvayin̄cu)	
interpretation 	 వివరణ 	(Vivaraṇa)	
interrupt 	 అంతరాయం కలిగించు 	(Antarāyaṁ kaligin̄cu)	
interruption 	 అంతరాయం 	(Antarāyaṁ)	
interval 	 విరామం 	(Virāmaṁ)	
interview 	 ఇంటర్వ్యూ 	(Iṇṭarvyū)	
into 	 లోకి 	(Lōki)	
introduce 	 పరిచయం 	(Paricayaṁ)	
introduction 	 పరిచయం 	(Paricayaṁ)	
invent 	 కనిపెట్టు 	(Kanipeṭṭu)	
invention 	 ఆవిష్కరణ 	(Āviṣkaraṇa)	
invest 	 పెట్టుబడి పెట్టండి 	(Peṭṭubaḍi peṭṭaṇḍi)	
investigate 	 దర్యాప్తు చేయండి 	(Daryāptu cēyaṇḍi)	
investigation 	 విచారణ 	(Vicāraṇa)	
investment 	 పెట్టుబడి 	(Peṭṭubaḍi)	
invitation 	 ఆహ్వానం 	(Āhvānaṁ)	
invite 	 ఆహ్వానించండి 	(Āhvānin̄caṇḍi)	
involve 	 ప్రమేయం 	(Pramēyaṁ)	
involved 	 చేరి 	(Cēri)	
involvement 	 ప్రమేయం 	(Pramēyaṁ)	
iron 	 ఇనుము 	(Inumu)	
irritate 	 చిరాకు 	(Cirāku)	
irritated 	 చిరాకుపడ్డాడు 	(Cirākupaḍḍāḍu)	
irritating 	 చిరాకు 	(Cirāku)	
island 	 ద్వీపం 	(Dvīpaṁ)	
