a	ఒక	oka	[sound:ఒక_google_female.mp3]
expectation	నిరీక్షణ	nirīkṣaṇa	[sound:నిరీక్షణ_google_female.mp3]
expected	ఊహించబడింది	ūhin̄cabaḍindi	[sound:ఊహించబడింది_google_female.mp3]
expense	ఖర్చు	kharcu	[sound:ఖర్చు_google_female.mp3]
expensive	ఖరీదైన	kharīdaina	[sound:ఖరీదైన_google_female.mp3]
experience	అనుభవం	anubhavaṁ	[sound:అనుభవం_google_female.mp3]
experienced	అనుభవించాడు	anubhavin̄cāḍu	[sound:అనుభవించాడు_google_female.mp3]
experiment	ప్రయోగం	prayōgaṁ	[sound:ప్రయోగం_google_female.mp3]
expert	నిపుణుడు	nipuṇuḍu	[sound:నిపుణుడు_google_female.mp3]
explain	వివరించండి	vivarin̄caṇḍi	[sound:వివరించండి_google_female.mp3]
explanation	వివరణ	vivaraṇa	[sound:వివరణ_google_female.mp3]
explode	పేలుడు	pēluḍu	[sound:పేలుడు_google_female.mp3]
explore	అన్వేషించండి	anvēṣin̄caṇḍi	[sound:అన్వేషించండి_google_female.mp3]
explosion	పేలుడు	pēluḍu	[sound:పేలుడు_google_female.mp3]
export	ఎగుమతి	egumati	[sound:ఎగుమతి_google_female.mp3]
expose	బహిర్గతం చేయండి	bahirgataṁ cēyaṇḍi	[sound:బహిర్గతం చేయండి_google_female.mp3]
express	ఎక్స్ప్రెస్	ekspres	[sound:ఎక్స్ప్రెస్_google_female.mp3]
expression	వ్యక్తీకరణ	vyaktīkaraṇa	[sound:వ్యక్తీకరణ_google_female.mp3]
extend	విస్తరించు	vistarin̄cu	[sound:విస్తరించు_google_female.mp3]
extension	పొడిగింపు	poḍigimpu	[sound:పొడిగింపు_google_female.mp3]
extensive	విస్తృతమైన	vistr̥tamaina	[sound:విస్తృతమైన_google_female.mp3]
extent	మేరకు	mēraku	[sound:మేరకు_google_female.mp3]
extra	అదనపు	adanapu	[sound:అదనపు_google_female.mp3]
extraordinary	అసాధారణమైన	asādhāraṇamaina	[sound:అసాధారణమైన_google_female.mp3]
extreme	తీవ్రమైన	tīvramaina	[sound:తీవ్రమైన_google_female.mp3]
extremely	అత్యంత	atyanta	[sound:అత్యంత_google_female.mp3]
eye	కన్ను	kannu	[sound:కన్ను_google_female.mp3]
face	ముఖం	mukhaṁ	[sound:ముఖం_google_female.mp3]
face up to	వరకు ముఖం	varaku mukhaṁ	[sound:వరకు ముఖం_google_female.mp3]
facility	సౌకర్యం	saukaryaṁ	[sound:సౌకర్యం_google_female.mp3]
fact	వాస్తవం	vāstavaṁ	[sound:వాస్తవం_google_female.mp3]
factor	కారకం	kārakaṁ	[sound:కారకం_google_female.mp3]
factory	కర్మాగారం	karmāgāraṁ	[sound:కర్మాగారం_google_female.mp3]
fail	విఫలం	viphalaṁ	[sound:విఫలం_google_female.mp3]
failure	వైఫల్యం	vaiphalyaṁ	[sound:వైఫల్యం_google_female.mp3]
faint	మూర్ఛపోతుంది	mūrchapōtundi	[sound:మూర్ఛపోతుంది_google_female.mp3]
faintly	మందకొడిగా	mandakoḍigā	[sound:మందకొడిగా_google_female.mp3]
fair	న్యాయమైన	n'yāyamaina	[sound:న్యాయమైన_google_female.mp3]
fairly	న్యాయంగా	n'yāyaṅgā	[sound:న్యాయంగా_google_female.mp3]
faith	విశ్వాసం	viśvāsaṁ	[sound:విశ్వాసం_google_female.mp3]
faithful	నమ్మకమైన	nam'makamaina	[sound:నమ్మకమైన_google_female.mp3]
faithfully	నమ్మకంగా	nam'makaṅgā	[sound:నమ్మకంగా_google_female.mp3]
fall	పతనం	patanaṁ	[sound:పతనం_google_female.mp3]
false	తప్పుడు	tappuḍu	[sound:తప్పుడు_google_female.mp3]
fame	కీర్తి	kīrti	[sound:కీర్తి_google_female.mp3]
familiar	తెలిసిన	telisina	[sound:తెలిసిన_google_female.mp3]
family	కుటుంబం	kuṭumbaṁ	[sound:కుటుంబం_google_female.mp3]
famous	ప్రసిద్ధి	prasid'dhi	[sound:ప్రసిద్ధి_google_female.mp3]
fan	అభిమాని	abhimāni	[sound:అభిమాని_google_female.mp3]
fancy	ఫాన్సీ	phānsī	[sound:ఫాన్సీ_google_female.mp3]
far	చాలా దూరం	cālā dūraṁ	[sound:చాలా దూరం_google_female.mp3]
farm	పొలం	polaṁ	[sound:పొలం_google_female.mp3]
farmer	రైతు	raitu	[sound:రైతు_google_female.mp3]
farming	వ్యవసాయం	vyavasāyaṁ	[sound:వ్యవసాయం_google_female.mp3]
farther	దూరంగా	dūraṅgā	[sound:దూరంగా_google_female.mp3]
farthest	చాలా దూరం	cālā dūraṁ	[sound:చాలా దూరం_google_female.mp3]
fashion	ఫ్యాషన్	phyāṣan	[sound:ఫ్యాషన్_google_female.mp3]
fashionable	ఫ్యాషన్	phyāṣan	[sound:ఫ్యాషన్_google_female.mp3]
fast	వేగంగా	vēgaṅgā	[sound:వేగంగా_google_female.mp3]
fasten	కట్టు	kaṭṭu	[sound:కట్టు_google_female.mp3]
fat	లావు	lāvu	[sound:లావు_google_female.mp3]
father	తండ్రి	taṇḍri	[sound:తండ్రి_google_female.mp3]
faucet	పీపాలో నుంచి నీళ్లు బయిటికి రావడమునకు వేసివుండే చిన్న గొట్టము	pīpālō nun̄ci nīḷlu bayiṭiki rāvaḍamunaku vēsivuṇḍē cinna goṭṭamu	[sound:పీపాలో నుంచి నీళ్లు బయిటికి రావడమునకు వేసివుండే చిన్న గొట్టము_google_female.mp3]
fault	తప్పు	tappu	[sound:తప్పు_google_female.mp3]
favour	అనుకూలంగా	anukūlaṅgā	[sound:అనుకూలంగా_google_female.mp3]
favourite	ఇష్టమైన	iṣṭamaina	[sound:ఇష్టమైన_google_female.mp3]
fear	భయం	bhayaṁ	[sound:భయం_google_female.mp3]
feather	ఈక	īka	[sound:ఈక_google_female.mp3]
feature	లక్షణం	lakṣaṇaṁ	[sound:లక్షణం_google_female.mp3]
February	ఫిబ్రవరి	phibravari	[sound:ఫిబ్రవరి_google_female.mp3]
federal	సమాఖ్య	samākhya	[sound:సమాఖ్య_google_female.mp3]
fee	రుసుము	rusumu	[sound:రుసుము_google_female.mp3]
feed	తిండి	tiṇḍi	[sound:తిండి_google_female.mp3]
feel	అనుభూతి	anubhūti	[sound:అనుభూతి_google_female.mp3]
feeling	అనుభూతి	anubhūti	[sound:అనుభూతి_google_female.mp3]
fellow	తోటి	tōṭi	[sound:తోటి_google_female.mp3]
female	స్త్రీ	strī	[sound:స్త్రీ_google_female.mp3]
fence	కంచె	kan̄ce	[sound:కంచె_google_female.mp3]
festival	పండుగ	paṇḍuga	[sound:పండుగ_google_female.mp3]
fetch	తీసుకుని	tīsukuni	[sound:తీసుకుని_google_female.mp3]
fever	జ్వరం	jvaraṁ	[sound:జ్వరం_google_female.mp3]
few	కొన్ని	konni	[sound:కొన్ని_google_female.mp3]
field	ఫీల్డ్	phīlḍ	[sound:ఫీల్డ్_google_female.mp3]
fifteen	పదిహేను	padihēnu	[sound:పదిహేను_google_female.mp3]
fifteenth	పదిహేనవది	padihēnavadi	[sound:పదిహేనవది_google_female.mp3]
fifth	ఐదవది	aidavadi	[sound:ఐదవది_google_female.mp3]
fiftieth	యాభైవది	yābhaivadi	[sound:యాభైవది_google_female.mp3]
fifty	యాభై	yābhai	[sound:యాభై_google_female.mp3]
fight	పోరాడు	pōrāḍu	[sound:పోరాడు_google_female.mp3]
fighting	పోరాడుతున్నారు	pōrāḍutunnāru	[sound:పోరాడుతున్నారు_google_female.mp3]
figure	బొమ్మ	bom'ma	[sound:బొమ్మ_google_female.mp3]
figure out	గుర్తించండి	gurtin̄caṇḍi	[sound:గుర్తించండి_google_female.mp3]
file	ఫైల్	phail	[sound:ఫైల్_google_female.mp3]
fill	నింపండి	nimpaṇḍi	[sound:నింపండి_google_female.mp3]
fill in	పూరించండి	pūrin̄caṇḍi	[sound:పూరించండి_google_female.mp3]
fill out	పూరించండి	pūrin̄caṇḍi	[sound:పూరించండి_google_female.mp3]
fill up	నింపండి	nimpaṇḍi	[sound:నింపండి_google_female.mp3]
film	చిత్రం	citraṁ	[sound:చిత్రం_google_female.mp3]
final	ఫైనల్	phainal	[sound:ఫైనల్_google_female.mp3]
finally	చివరకు	civaraku	[sound:చివరకు_google_female.mp3]
finance	ఫైనాన్స్	phaināns	[sound:ఫైనాన్స్_google_female.mp3]
financial	ఆర్థిక	ārthika	[sound:ఆర్థిక_google_female.mp3]
find	కనుగొనండి	kanugonaṇḍi	[sound:కనుగొనండి_google_female.mp3]
find out	కనుక్కోండి	kanukkōṇḍi	[sound:కనుక్కోండి_google_female.mp3]
fine	జరిమానా	jarimānā	[sound:జరిమానా_google_female.mp3]
finely	చక్కగా	cakkagā	[sound:చక్కగా_google_female.mp3]
finger	వేలు	vēlu	[sound:వేలు_google_female.mp3]
finish	పూర్తి	pūrti	[sound:పూర్తి_google_female.mp3]
finished	పూర్తయింది	pūrtayindi	[sound:పూర్తయింది_google_female.mp3]
finish off	ముగించు	mugin̄cu	[sound:ముగించు_google_female.mp3]
fire	అగ్ని	agni	[sound:అగ్ని_google_female.mp3]
firm	సంస్థ	sanstha	[sound:సంస్థ_google_female.mp3]
firmly	దృఢంగా	dr̥ḍhaṅgā	[sound:దృఢంగా_google_female.mp3]
first	మొదటి	modaṭi	[sound:మొదటి_google_female.mp3]
fish	చేప	cēpa	[sound:చేప_google_female.mp3]
fishing	చేపలు పట్టడం	cēpalu paṭṭaḍaṁ	[sound:చేపలు పట్టడం_google_female.mp3]
fit	సరిపోయింది	saripōyindi	[sound:సరిపోయింది_google_female.mp3]
fit in	సరిపోతాయి	saripōtāyi	[sound:సరిపోతాయి_google_female.mp3]
five	ఐదు	aidu	[sound:ఐదు_google_female.mp3]
fix	పరిష్కరించండి	pariṣkarin̄caṇḍi	[sound:పరిష్కరించండి_google_female.mp3]
fixed	పరిష్కరించబడింది	pariṣkarin̄cabaḍindi	[sound:పరిష్కరించబడింది_google_female.mp3]
flag	జెండా	jeṇḍā	[sound:జెండా_google_female.mp3]
flame	జ్వాల	jvāla	[sound:జ్వాల_google_female.mp3]
flash	ఫ్లాష్	phlāṣ	[sound:ఫ్లాష్_google_female.mp3]
flat	ఫ్లాట్	phlāṭ	[sound:ఫ్లాట్_google_female.mp3]
flavour	రుచి	ruci	[sound:రుచి_google_female.mp3]
flesh	మాంసం	mānsaṁ	[sound:మాంసం_google_female.mp3]
flight	విమానము	vimānamu	[sound:విమానము_google_female.mp3]
float	తేలుతుంది	tēlutundi	[sound:తేలుతుంది_google_female.mp3]
flood	వరద	varada	[sound:వరద_google_female.mp3]
flooded	వరదలు వచ్చాయి	varadalu vaccāyi	[sound:వరదలు వచ్చాయి_google_female.mp3]
flooding	వరదలు	varadalu	[sound:వరదలు_google_female.mp3]
floor	అంతస్తు	antastu	[sound:అంతస్తు_google_female.mp3]
flour	పిండి	piṇḍi	[sound:పిండి_google_female.mp3]
flow	ప్రవాహం	pravāhaṁ	[sound:ప్రవాహం_google_female.mp3]
flower	పువ్వు	puvvu	[sound:పువ్వు_google_female.mp3]
flu	ఫ్లూ	phlū	[sound:ఫ్లూ_google_female.mp3]
fly	ఎగురుతాయి	egurutāyi	[sound:ఎగురుతాయి_google_female.mp3]
flying	ఎగురుతూ	egurutū	[sound:ఎగురుతూ_google_female.mp3]
focus	దృష్టి	dr̥ṣṭi	[sound:దృష్టి_google_female.mp3]
fold	రెట్లు	reṭlu	[sound:రెట్లు_google_female.mp3]
folding	మడత	maḍata	[sound:మడత_google_female.mp3]
follow	అనుసరించండి	anusarin̄caṇḍi	[sound:అనుసరించండి_google_female.mp3]
following	అనుసరించడం	anusarin̄caḍaṁ	[sound:అనుసరించడం_google_female.mp3]
follow up	అనుసరించండి	anusarin̄caṇḍi	[sound:అనుసరించండి_google_female.mp3]
food	ఆహారం	āhāraṁ	[sound:ఆహారం_google_female.mp3]
foot	అడుగు	aḍugu	[sound:అడుగు_google_female.mp3]
football	ఫుట్బాల్	phuṭbāl	[sound:ఫుట్బాల్_google_female.mp3]
for	కోసం	kōsaṁ	[sound:కోసం_google_female.mp3]
force	బలవంతం	balavantaṁ	[sound:బలవంతం_google_female.mp3]
